title,language,deity,category,yt_query,style,tala,raga,neuro_tags,repetition_count,repetition_type,single_duration_min,cumulative_exposure_min,repetition_note,literature_eeg,cross_cultural_parallel,hawan_performed,hawan_samagri,mirchi_quantity_kg,homa_ahutis,capsaicin_total_g,olfactory_eeg_modifier,trigeminal_arousal_idx,net_hawan_eeg_state,phq9_boost_hawan,layer,instrumental_notes,aarti_instruments,instrument_eeg_boost,visual_stimulus,tactile_stimulus
Aditya Hridayam,Sanskrit,Surya,Stotram,Aditya Hridayam full traditional recitation Sanskrit,monotone_recitation,free_metre,,"['frequency_cluster_432hz', 'meditative_onset']",1,occasion_based,20.0,20,,,,,,,,,,,,,,,,,,
Vishnu Sahasranamam,Sanskrit,Vishnu,Stotram,Vishnu Sahasranamam MS Subbulakshmi full,melodic,Adi,Madhyamavati,"['rhythm_entrainment', 'harmonic_resonance']",1,occasion_based,25.0,25,,,,,,,,,,,,,,,,,,
Shiva Tandava Stotram,Sanskrit,Shiva,Stotram,Shiva Tandava Stotram traditional recitation Sanskrit full,rhythmic_chant,Rupak,,"['high_tempo_arousal', 'beta_wave_induction']",1,occasion_based,5.0,5,,,,,,,,,,,,,,,,,,
Hanuman Chalisa,Awadhi,Hanuman,Bhajan,Hanuman Chalisa traditional recitation slow full,rhythmic_chant,Chaupai,,"['rhythm_entrainment', 'meditative_onset']",7,fixed_count,7.0,49,,,,,,,,,,,,,,,,,,
Mahalakshmi Ashtakam,Sanskrit,Lakshmi,Stotram,Mahalakshmi Ashtakam Sanskrit recitation full,monotone_recitation,free_metre,,"['frequency_cluster_528hz', 'meditative_onset']",1,occasion_based,5.0,5,,,,,,,,,,,,,,,,,,
Durga Saptashloki,Sanskrit,Durga,Stotram,Durga Saptashloki Sanskrit traditional full recitation,monotone_recitation,free_metre,,"['meditative_onset', 'low_frequency_grounding']",7,fixed_count,10.0,70,,,,,,,,,,,,,,,,,,
Lingashtakam,Sanskrit,Shiva,Stotram,Lingashtakam Sanskrit recitation full traditional,monotone_recitation,free_metre,,"['frequency_cluster_432hz', 'meditative_onset']",1,occasion_based,3.0,3,,,,,,,,,,,,,,,,,,
Rudrashtakam,Sanskrit,Shiva,Stotram,Rudrashtakam Sanskrit traditional recitation full,melodic,Adi,Bhairavi,"['harmonic_resonance', 'meditative_onset']",1,occasion_based,5.0,5,,,,,,,,,,,,,,,,,,
Kanakadhara Stotram,Sanskrit,Lakshmi,Stotram,Kanakadhara Stotram Sanskrit recitation full,melodic,free_metre,Kambhoji,"['harmonic_resonance', 'frequency_cluster_528hz']",1,occasion_based,8.0,8,,,,,,,,,,,,,,,,,,
Shiv Panchakshara Stotram,Sanskrit,Shiva,Stotram,Shiv Panchakshara Stotram Sanskrit full recitation,monotone_recitation,free_metre,,"['meditative_onset', 'low_frequency_grounding']",5,fixed_count,3.0,15,,,,,,,,,,,,,,,,,,
Om Jai Jagdish Hare,Hindi,Vishnu,Bhajan,Om Jai Jagdish Hare aarti traditional full,rhythmic_chant,Keherwa,Bhairavi,"['rhythm_entrainment', 'meditative_onset']",1,occasion_based,5.0,5,,,,,,,,,,,,,,,,,,
Achyutam Keshavam,Sanskrit,Vishnu,Bhajan,Achyutam Keshavam Krishna Damodaram full bhajan traditional,melodic,Adi,Yaman,"['harmonic_resonance', 'meditative_onset']",108,fixed_count,3.0,324,,,,,,,,,,,,,,,,,,
Raghupati Raghava Raja Ram,Hindi,Rama,Bhajan,Raghupati Raghava Raja Ram Gandhi bhajan traditional full,rhythmic_chant,Keherwa,,"['rhythm_entrainment', 'meditative_onset']",108,fixed_count,2.0,216,,,,,,,,,,,,,,,,,,
Jai Ganesh Jai Ganesh Deva,Hindi,Ganesha,Bhajan,Jai Ganesh Deva aarti traditional full,rhythmic_chant,Keherwa,,"['rhythm_entrainment', 'beta_wave_induction']",1,occasion_based,4.0,4,,,,,,,,,,,,,,,,,,
Vaishnav Jan To,Gujarati,Vishnu,Bhajan,Vaishnav Jan To Narsinh Mehta bhajan traditional full,melodic,Adi,Bhairavi,"['harmonic_resonance', 'alpha_wave_induction', 'meditative_onset']",1,occasion_based,5.0,5,,,,,,,,,,,,,,,,,,
Jai Ambe Gauri,Hindi,Durga,Bhajan,Jai Ambe Gauri aarti traditional full bhajan,rhythmic_chant,Keherwa,Kafi,"['rhythm_entrainment', 'beta_wave_induction']",1,occasion_based,6.0,6,,,,,,,,,,,,,,,,,,
Mere Ghat Ko Banao,Hindi,Krishna,Bhajan,Mere Man Mandir Mein Meera bhajan traditional full devotional,melodic,Adi,Bhairavi,"['harmonic_resonance', 'meditative_onset', 'alpha_wave_induction']",1,occasion_based,4.0,4,,,,,,,,,,,,,,,,,,
Gayatri Mantra,Sanskrit,Savitri,Vedic,Gayatri Mantra 108 times traditional Vedic,monotone_recitation,Gayatri_chandas,,"['frequency_cluster_432hz', 'alpha_wave_induction', 'meditative_onset']",108,fixed_count,20.0,2160,,,,,,,,,,,,,,,,,,
Mahamrityunjaya Mantra,Sanskrit,Shiva,Vedic,Mahamrityunjaya Mantra 108 times traditional Sanskrit,monotone_recitation,Anushtubh_chandas,,"['low_frequency_grounding', 'meditative_onset', 'alpha_wave_induction']",108,fixed_count,15.0,1620,,,,,,,,,,,,,,,,,,
Purusha Suktam,Sanskrit,Vishnu,Vedic,Purusha Suktam traditional Vedic recitation full,call_response,free_metre,,"['rhythm_entrainment', 'harmonic_resonance']",1,occasion_based,10.0,10,,,,,,,,,,,,,,,,,,
Sri Suktam,Sanskrit,Lakshmi,Vedic,Sri Suktam Rigveda traditional recitation full,monotone_recitation,free_metre,,"['frequency_cluster_528hz', 'meditative_onset']",16,fixed_count,12.0,192,,,,,,,,,,,,,,,,,,
Narayana Suktam,Sanskrit,Vishnu,Vedic,Narayana Suktam Yajurveda traditional full recitation,monotone_recitation,free_metre,,"['meditative_onset', 'harmonic_resonance']",1,occasion_based,8.0,8,,,,,,,,,,,,,,,,,,
Durga Suktam,Sanskrit,Durga,Vedic,Durga Suktam Vedic recitation full traditional,monotone_recitation,free_metre,,"['low_frequency_grounding', 'meditative_onset']",7,fixed_count,6.0,42,,,,,,,,,,,,,,,,,,
Shri Rudram Chamakam,Sanskrit,Shiva,Vedic,Shri Rudram Chamakam full traditional Vedic recitation,call_response,free_metre,,"['rhythm_entrainment', 'alpha_wave_induction', 'harmonic_resonance']",11,fixed_count,45.0,495,,,,,,,,,,,,,,,,,,
Kanda Sashti Kavasam,Tamil,Murugan,Tamil Stotram,Kanda Sashti Kavasam full traditional Tamil recitation,rhythmic_chant,Adi,Saveri,"['rhythm_entrainment', 'beta_wave_induction']",1,occasion_based,15.0,15,,,,,,,,,,,,,,,,,,
Thiruppavai,Tamil,Vishnu,Tamil Stotram,Thiruppavai full 30 pasurams traditional Tamil,melodic,Adi,Shankarabharanam,"['harmonic_resonance', 'meditative_onset']",30,fixed_count,60.0,1800,,,,,,,,,,,,,,,,,,
Thiruvempavai,Tamil,Shiva,Tamil Stotram,Thiruvempavai full traditional Tamil Tevaram,melodic,Misra_Chapu,Bhairavi,"['harmonic_resonance', 'meditative_onset']",20,fixed_count,40.0,800,,,,,,,,,,,,,,,,,,
Vinayagar Agaval,Tamil,Ganesha,Tamil Stotram,Vinayagar Agaval full traditional Tamil recitation,monotone_recitation,free_metre,,"['meditative_onset', 'frequency_cluster_432hz']",1,occasion_based,5.0,5,,,,,,,,,,,,,,,,,,
Abhirami Andhadhi,Tamil,Parvati,Tamil Stotram,Abhirami Andhadhi full 100 verses traditional Tamil,melodic,Adi,Kalyani,"['harmonic_resonance', 'alpha_wave_induction']",100,fixed_count,90.0,9000,,,,,,,,,,,,,,,,,,
Siva Puranam,Tamil,Shiva,Tamil Stotram,Siva Puranam Thevaram full traditional Tamil recitation,melodic,Adi,Panthuvarali,"['harmonic_resonance', 'meditative_onset', 'low_frequency_grounding']",1,occasion_based,15.0,15,,,,,,,,,,,,,,,,,,
Muthu Kumara Swami,Tamil,Murugan,Tamil Stotram,Muthu Kumara Swami Tamil devotional full traditional,melodic,Adi,Hamsadhwani,"['harmonic_resonance', 'meditative_onset']",1,occasion_based,8.0,8,,,,,,,,,,,,,,,,,,
Aditya Hridayam Tamil,Tamil,Surya,Tamil Stotram,Aditya Hridayam Tamil recitation full traditional,monotone_recitation,free_metre,,"['meditative_onset', 'frequency_cluster_432hz']",1,occasion_based,20.0,20,,,,,,,,,,,,,,,,,,
